full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT
"    1P/Halley",0.967142908462304,0.585978111516909,162.262690579161,58.42008097656843,111.3324851045177,35.08231047359043,19860205.8953171,75.3158906863411,HTC,57852,,7428,,2.696463929511566E-10,1.554613388970244E-10,,
"    2P/Encke",.8483360282890077,.3359571264858844,11.78199781557852,334.5678725687213,186.5446458683143,4.094325460680924,20131121.7773493,3.296934748586,ETc,3787,0,2584,,-2.050005447641087E-11,-1.85864577773765E-12,3.869899660518827E-9,
"    3D/Biela",0.751299,0.879073,13.2164,250.669,221.6588,6.190243166802708,18321126.6152000,6.64552531740703,JFc,,,26,,0.39E-8,-0.0254E-8,,
"    4P/Faye",.5696175496849397,1.651876343070432,9.070294510274881,199.143982411512,205.1258177176394,6.024441972702809,20140529.8687186,7.51956420594534,JFc,6226,0,4460,,3.827616356938363E-9,6.623304467699322E-10,-1.612481419404149E-9,-112.8808026867707
"    5D/Brorsen",0.809796,0.589847,29.3821,102.9676,14.9468,5.612409524573614,18790331.0341000,5.46119640576126,JFc,,,127,,1.27E-8,0.1343E-8,,
"    6P/d'Arrest",.6114219228700193,1.361454546530219,19.48168162749337,138.9337127711251,178.1152293178701,5.645912192148699,20150302.4186997,6.55836343821244,JFc,10516,1,2194,,3.394187790901383E-9,-8.903327666485144E-11,-6.286843222727497E-10,108.8992717554588
"    7P/Pons-Winnecke",.6343521595756417,1.256233641247848,22.29644218108785,93.42659185011168,172.2578798147044,5.61504250133736,20020515.8347544,6.36823838580226,JFc,36094,0,677,,6.612071145867012E-11,-1.87400228377736E-12,-1.311189054669113E-10,109.581038002386
"    8P/Tuttle",.8197966224140293,1.027113355209147,54.98317381441031,270.3416211910725,207.509542802402,10.37237725332993,20080127.0258039,13.6079083761106,JFC,19529,0,1586,,6.083735556013546E-10,1.393061730131474E-10,-5.188475837641523E-10,
"    9P/Tempel 1",.5096252610534868,1.542549544745144,10.47386414673321,68.74959803160912,179.203580873436,4.748759620400882,20160802.5781699,5.57923623009731,JFc,1555,3,1488,,-2.418524364896777E-9,-3.748815503298663E-10,-4.018541720350795E-10,
"   10P/Tempel 2",.5362731523679858,1.421805958451013,12.02422299818989,117.8023017705041,195.6077883346506,4.710277899584625,20100704.7881782,5.36877664738254,JFc,6308,0,3689,,1.946055875751387E-10,6.633670236343501E-12,8.562285112760032E-11,
